Class_Id,University,uuid,Course Name,URL Used,Semester,Sample,Education Level,Lecture,Notes,Code 1,Code 2,Code 3,Code 4
1,MIT,,Introduction to Machine Learning,https://gradml.mit.edu/info/calendar/,24-FL,Introduction to Machine Learning24-FL.pdf,undergraduate,1,Foundations of Machine Learning,other->ml,,,
1,,,,,,,,2,Parameter Estimation,other->ml,,,
1,,,,,,,,3,Bayesian View of Estimation,other->ml,,,
1,,,,,,,,4,Linear Regression,other->ml,,,
1,,,,,,,,5,Bayesian Linear Regression,other->ml,,,
1,,,,,,,,6,Bias/Variance Regularization,other->ml,,,
1,,,,,,,,7,"Evaluating Estimators, Consistency",other->ml,,,
1,,,,,,,,8,"Classification, Ranking",other->ml,,,
1,,,,,,,,9,"Online Learning, Regret",other->ml,,,
1,,,,,,,,10,Neural Networks,other->ml,,,
1,,,,,,,,11,"Optimization, Regularization",other->ml,,,
1,,,,,,,,12,No lecture,other->ml,,,
1,,,,,,,,13,Neural Network Models and Problem Structures,other->ml,,,
1,,,,,,,,14,"Over Parameterization, Genralization",other->ml,,,
1,,,,,,,,15,Midterm,other->ml,,,
1,,,,,,,,16,"Robustness, uncertainty quantification",other->ml,,,
1,,,,,,,,17,"Domain adaptation, covariate shift",other->ml,,,
1,,,,,,,,18,Temporal and spatial data,other->ml,,,
1,,,,,,,,19,"Handling missing data
",other->ml,,,
1,,,,,,,,20,Dimensionality reduction,other->ml,,,
1,,,,,,,,21,Dimensionality reduction,other->ml,,,
1,,,,,,,,22,Modeling complex,other->ml,,,
1,,,,,,,,23,"Variational auto-encoders
",other->ml,,,
1,,,,,,,,24,Diffusion models,other->ml,,,
1,,,,,,,,25,No Lecture,other->ml,,,
1,,,,,,,,26,No problem Session,other->ml,,,
1,,,,,,,,27,Flow-Matching Models,other->ml,,,
1,,,,,,,,28,Some (more) ways to do machine learning wrong,other->ml,,,
2,MIT,,Computer System Security,https://css.csail.mit.edu/6.858/2023/general.html,23-SP,MIT-Computer-System-Security.pdf,undergraduate,1,"introduction, threat model",other->sec,,,
2,,,,,,,,2,security architecture,other->sec,,,
2,,,,,,,,3,buffer overflow defenses,other->sec,,,
2,,,,,,,,4,privilege separation,other->sec,,,
2,,,,,,,,5,os and vm isolation,other->sec,,,
2,,,,,,,,6,software fault isolation,other->sec,,,
2,,,,,,,,7,sandboxing libraries,other->sec,,,
2,,,,,,,,8,client device security ,other->sec,,,
2,,,,,,,,9,android security,other->sec,,,
2,,,,,,,,10,cpu timing attacks,other->sec,,,
2,,,,,,,,11,symbolic execution,other->sec,,,
2,,,,,,,,12,verification,other->sec,,,
2,,,,,,,,13,quiz 1,other->sec,,,
2,,,,,,,,14,spring vacation,other->sec,,,
2,,,,,,,,15,spring vacation,other->sec,,,
2,,,,,,,,16,web security model,other->sec,,,
2,,,,,,,,17,guest: information security in real life,other->sec,,,
2,,,,,,,,18,web security,other->sec,,,
2,,,,,,,,19,network security,other->sec,,,
2,,,,,,,,20,secure channels,other->sec,,,
2,,,,,,,,21,certificates,other->sec,,,
2,,,,,,,,22,user authentication,other->sec,,,
2,,,,,,,,23,messaging security,other->sec,,,
2,,,,,,,,24,supply chain security,other->sec,,,
2,,,,,,,,25,anonymous communication,other->sec,,,
2,,,,,,,,26,untrsuted storage servers,other->sec,,,
2,,,,,,,,27,secure processors,other->sec,,,
2,,,,,,,,28,zoom security,other->sec,,,
2,,,,,,,,29,final exam,none,,,
3,WISC,,introduction to artificial intelligence,https://pages.cs.wisc.edu/~dyer/cs540/schedule.html,FL-19,"CS 540_ Intro to AI, University of Wisconsin - Madison.pdf",graduate,1,introduction,other->ml,,,
3,,,,,,,,2,uninformed search,other->ml,,,
3,,,,,,,,3,informed (heuristic) search,other->ml,,,
3,,,,,,,,4,no class,other->ml,,,
3,,,,,,,,5,"game playing, unsupervised machine learning",other->ml,,,
3,,,,,,,,6,"supervised machine learning, knn",other->ml,,,
3,,,,,,,,7,"dicision trees, genetic algorithms, constraint satisfaction",other->ml,,,
3,,,,,,,,8,midterm,none,,,
3,,,,,,,,9,neural networks,other->ml,,,
3,,,,,,,,10,"deep learning, support vector machine",other->ml,,,
3,,,,,,,,11,probabilistic reasoning: uncertainty,other->ml,,,
3,,,,,,,,12,probabilistic reasoning: bayesian network,other->ml,,,
3,,,,,,,,13,no class,none,,,
3,,,,,,,,14,computer vision,other->ml,,,
4,WISC,,Introduction to Software Security,https://pages.cs.wisc.edu/~bart/cs542.html,24-FL,CS 542 - Introduction to Software Security- Fall 2024.pdf,graduate,1,Course Overview,other->sec,,,
4,,,,,,,,2,Basic Concepts and Terminology and Thinking like an Attacker chapters,other->sec,,,
4,,,,,,,,3,Numeric Errors,other->sec,,,
4,,,,,,,,4,Serialization,other->sec,,,
4,,,,,,,,5,Exceptions ,other->sec,,,
4,,,,,,,,6,no class,none,,,
4,,,,,,,,7,no class,none,,,
4,,,,,,,,8,"Introduction to Injection Attacks, SQL Injection",other->sec,,,
4,,,,,,,,9,Command Injection attacks,other->sec,,,
4,,,,,,,,10,XML Injections,other->sec,,,
4,,,,,,,,11,Code Injections,other->sec,,,
4,,,,,,,,12,Directory Traversal,other->sec,,,
4,,,,,,,,13,Web Attacks and Mitigations,other->sec,,,
4,,,,,,,,14,no class,none,,,
4,,,,,,,,15,Session Management and Redirect,other->sec,,,
4,,,,,,,,16,Threat Modeling,other->sec,,,
4,,,,,,,,17,no class,none,,,
4,,,,,,,,18,DHS Table,other->sec,,,
4,,,,,,,,19,quiz 1,none,,,
4,,,,,,,,20,FPVA,other->sec,,,
4,,,,,,,,21,FPVA,other->sec,,,
4,,,,,,,,22,FPVA,other->sec,,,
4,,,,,,,,23,thanksgiving,none,,,
4,,,,,,,,24,Automated Assessment Tools Fundamentals,other->sec,,,
4,,,,,,,,25,Dependency Analysis,other->sec,,,
4,,,,,,,,26,Fuzz Testing,other->sec,,,
4,,,,,,,,27,quiz 2,none,,,
5,UMD,,Introduction to Artificial Intelligence,https://www.cs.umd.edu/class/fall2024/cmsc422-0101/,24-FL,CMSC - 422_introduction_to_ml.pdf,ungraduate,1,Welcome to Machine Learning,other->ml,,,
5,,,,,,,,2,Decision Trees,other->ml,,,
5,,,,,,,,3,Decision Trees Contd. / Ensemble learning,other->ml,,,
5,,,,,,,,4,K-Nearest Neighbors,other->ml,,,
5,,,,,,,,5,Perceptron,other->ml,,,
5,,,,,,,,6,Convergence Analysis of Perceptron,other->ml,,,
5,,,,,,,,7,Linear Classifiers and loss functions,other->ml,,,
5,,,,,,,,8,Gradient Descent,other->ml,,,
5,,,,,,,,9,Naive Bayes Classifier,other->ml,,,
5,,,,,,,,10,Logistic Regression,other->ml,,,
5,,,,,,,,11,Logistic Regression Contd.,other->ml,,,
5,,,,,,,,12,Binary to Multi-label Classification,other->ml,,,
5,,,,,,,,13,Multi-class (softmax),other->ml,,,
5,,,,,,,,14,midterm,none,,,
5,,,,,,,,15,Neural Networks,other->ml,,,
5,,,,,,,,16,Neural Networks Contd. (Forward Prop),other->ml,,,
5,,,,,,,,17,Back Propagation,other->ml,,,
5,,,,,,,,18,"Multi Label Classification Contd.
Parameter Tuning",other->ml,,,
5,,,,,,,,19,Convolution Neural Network (CNN),other->ml,,,
5,,,,,,,,20,"CNN Contd., KMeans",other->ml,,,
5,,,,,,,,21,K-Means Contd.,other->ml,,,
5,,,,,,,,22,Principal Components Analysis (PCA),other->ml,,,
5,,,,,,,,23,"Dimensionality Reduction Contd.
Intro to AutoEncoders",other->ml,,,
5,,,,,,,,24,AutoEncoders & Kernels (SVM),other->ml,,,
5,,,,,,,,25,"More SVM /
Recurrent Neural Networks (RNN)",other->ml,,,
5,,,,,,,,26,RNN / LSTM,other->ml,,,
5,,,,,,,,27,no class,none,,,
5,,,,,,,,28,thanksgiving ,none,,,
5,,,,,,,,29,intro to generative ai,other->ml,,,
5,,,,,,,,30,variational autoencoders,other->ml,,,
6,UMD,,computer and network security,https://www.cs.umd.edu/class/spring2019/cmsc414/schedule.html,,,undergrad,1,introduction,other->sec,,,
6,,,,,,,,2,buffer overflow attacks,other->sec,,,
6,,,,,,,,3,buffer overflow attacks and defenses,other->sec,,,
6,,,,,,,,4,memory safety: attacks and defenses,other->sec,,,
6,,,,,,,,5,malware and malware case studies,other->sec,,,
6,,,,,,,,6,program analysis,other->sec,,,
6,,,,,,,,7,web background and SQL injection,other->sec,,,
6,,,,,,,,8,XSS and CSRF,other->sec,,,
6,,,,,,,,9,principles of secure software design,other->sec,,,
6,,,,,,,,10,clickjacking and phishing,other->sec,,,
6,,,,,,,,11,"cryptography intro, symmetric",other->sec,,,
6,,,,,,,,12,midterm recap & open problems in software security,other->sec,,,
6,,,,,,,,13,midterm 1,none,,,
6,,,,,,,,14,symmetric and public-key crypto,other->sec,,,
6,,,,,,,,15,spring break,none,,,
6,,,,,,,,16,spring break,none,,,
6,,,,,,,,17,Proving who you are: Key exchange and PKI,other->sec,,,
6,,,,,,,,18,PKI in the wild,other->sec,,,
6,,,,,,,,19,Secure computation,other->sec,,,
6,,,,,,,,20,Hiding who you are: Anonymity,other->sec,,,
6,,,,,,,,21,Blockchain (no slides),other->sec,,,
6,,,,,,,,22,Privacy,other->sec,,,
6,,,,,,,,23,Midterm 2 recap,none,,,
6,,,,,,,,24,Midterm 2 recap,none,,,
6,,,,,,,,25,Networking background,other->sec,,,
6,,,,,,,,26,Networking attacks: TCP,other->sec,,,
6,,,,,,,,27,Censorship resistance,other->sec,,,
6,,,,,,,,28,Human behavior,other->sec,,,
6,,,,,,,,29,Networking attacks: DNS,other->sec,,,
6,,,,,,,,30,	Botnets & underground economies,other->sec,,,
6,,,,,,,,31,Final recap,none,,,
6,,,,,,,,32,Final exam,none,,,
7,EPFL,,Machine Learning,https://www.epfl.ch/labs/mlo/machine-learning-cs-433/,25-WT,Machine Learning CS-433 ‒ MLO ‐ EPFL.pdf,graduate,1,"Introduction, Linear Regression",other->ml,,,
7,,,,,,,,2,Loss functions,other->ml,,,
7,,,,,,,,3,Optimization,other->ml,,,
7,,,,,,,,4,Optimization,other->ml,,,
7,,,,,,,,5,"Least Squares, Overfitting",other->ml,,,
7,,,,,,,,6,"Max Likelihood, Ridge Regression, Lasso",other->ml,,,
7,,,,,,,,7,"Generalization, Model Selection, and Validation",other->ml,,,
7,,,,,,,,8,Bias-Variance decomposition,other->ml,,,
7,,,,,,,,9,Classification,other->ml,,,
7,,,,,,,,10,Logistic Regression,other->ml,,,
7,,,,,,,,11,Support Vector Machines,other->ml,,,
7,,,,,,,,12,K-Nearest Neighbors,other->ml,,,
7,,,,,,,,13,Kernel Regression,other->ml,,,
7,,,,,,,,14,"Neural Networks – Basics, Representation Power",other->ml,,,
7,,,,,,,,15,"Neural Networks – Backpropagation, Activation Functions",other->ml,,,
7,,,,,,,,16,"Neural Networks – CNNs, Regularization, Data Augmentation, Dropout",other->ml,,,
7,,,,,,,,17,Neural Networks – Transformers,other->ml,,,
7,,,,,,,,18,Adversarial ML,security,privacy,,
7,,,,,,,,19,Ethics and Fairness in ML,fairness,,,
7,,,,,,,,20,"Unsupervised Learning, K-Means, Gaussian Mixture Models",other->ml,,,
7,,,,,,,,21,"Gaussian Mixture Models, EM algorithm	",other->ml,,,
7,,,,,,,,22,	Matrix Factorizations,other->ml,,,
7,,,,,,,,23,"Text Representation Learning, LLMs",other->ml,,,
7,,,,,,,,24,"LLMs, Self-supervised Learning",other->ml,,,
7,,,,,,,,25,GANs + Diffusion models,other->ml,,,
7,,,,,,,,26,"Guest lecture, Edouard Grave: “Audio/Speech LM”",other->ml,,,
8,University of Michigan,,Introduction to Artificial Intelligence,https://web.eecs.umich.edu/~kuipers/teaching/eecs492-F11.html,,,graduate,1,What is AI,other->ml,,,
8,,,,,,,,2,Agents and Environments,other->ml,,,
8,,,,,,,,3,State Spaces and Search,other->ml,,,
8,,,,,,,,4,Beyond Classical Search,other->ml,,,
8,,,,,,,,5,Constraint Satisfication,other->ml,,,
8,,,,,,,,6,Logical Agents,other->ml,,,
8,,,,,,,,7,Propositional Inference,other->ml,,,
8,,,,,,,,8,Firt Order Logic,other->ml,,,
8,,,,,,,,9,First Order Inference,other->ml,,,
8,,,,,,,,10,Planning,other->ml,,,
8,,,,,,,,11,Planning and Resources,other->ml,,,
8,,,,,,,,12,Hierarchy and Non-Determinism,other->ml,,,
8,,,,,,,,13,Representing Knowledge,other->ml,,,
8,,,,,,,,14,Midterm,none,,,
8,,,,,,,,15,Uncertainty,other->ml,,,
8,,,,,,,,16,Markov Decision Processes,other->ml,,,
8,,,,,,,,17,Bayesian Networks,other->ml,,,
8,,,,,,,,18,Inference in Bayesian Networks,other->ml,,,
8,,,,,,,,19,Decision Analysis,other->ml,,,
8,,,,,,,,20,Learning Decision Trees,other->ml,,,
8,,,,,,,,21,Linear Regresssion & Classification,other->ml,,,
8,,,,,,,,22,SVM & Kernel Methods,other->ml,,,
8,,,,,,,,23,Reinfrocement Learning,other->ml,,,
8,,,,,,,,24,Images & Early Vision,other->ml,,,
8,,,,,,,,25,Objects & Recognition,other->ml,,,
8,,,,,,,,26,Computer Vision: Uses & History,other->ml,,,
8,,,,,,,,27,Is AI Possible,other->ml,,,
8,,,,,,,,28,Final Exam,none,,,
9,University of Michigan,,Machine Learning,https://eecs445-f16.github.io/schedule,,,graduate,1, Introduction to Machine Learning,other->ml,,,
9,,,,,,,,2,Linear Algebra Review,other->ml,,,
9,,,,,,,,3,Probability Review & Intro to Optimization,other->ml,,,
9,,,,,,,,4,"Linear Regression, Part I",other->ml,,,
9,,,,,,,,5,"Linear Regression, Part II",other->ml,,,
9,,,,,,,,6,Logistic Regression,other->ml,,,
9,,,,,,,,7,Naive Bayes,other->ml,,,
9,,,,,,,,8,Support Vector Machines,other->ml,,,
9,,,,,,,,9,Support Vector Machines,other->ml,,,
9,,,,,,,,10,Bias-Variance Tradeoff,other->ml,,,
9,,,,,,,,11,Decision Trees & Information Theory,other->ml,,,
10,CMU,,Introduction to Machine Learning ,https://www.cs.cmu.edu/~mgormley/courses/10601/schedule.html,,https://drive.google.com/file/d/1rnOiNpUoVDS0YN_ZREaXByaxTjogE98L/view?usp=drive_link,undergrad,1,	Lecture 1 : Course Overview,other->ml,,,
10,,,,,,,,2,Lecture 2 : Machine Learning as Function Approximation,other->ml,,,
10,,,,,,,,3,(MLK Day - No Class),none,,,
10,,,,,,,,4,Lecture 3 : Decision Trees,other->ml,,,
10,,,,,,,,5,Lecture 4 : k-Nearest Neighbors,other->ml,,,
10,,,,,,,,6,Lecture 5 : Model Selection and Experimental Design,other->ml,,,
10,,,,,,,,7,Lecture 6 : Perceptron,other->ml,,,
10,,,,,,,,8,Lecture 7 : Linear Regression,other->ml,,,
10,,,,,,,,9,Lecture 8 : Optimization for ML,other->ml,,,
10,,,,,,,,10,Lecture 9 : Stochastic Gradient Descent / Logistic Regression,other->ml,,,
10,,,,,,,,11,Lecture 10 : Feature Engineering / Regularization,other->ml,,,
10,,,,,,,,12,Exam 1 Review OH,none,,,
10,,,,,,,,13,Lecture 11 : Neural Networks,other->ml,,,
10,,,,,,,,14,Exam 1 Review OH,none,,,
10,,,,,,,,15,Lecture 12 : Backpropagation I,other->ml,,,
10,,,,,,,,16,Lecture 13 : Backpropagation II,other->ml,,,
10,,,,,,,,17,Lecture 14 : Societal Impacts of ML,other->ml,,,
10,,,,,,,,18,Spring break,none,,,
10,,,,,,,,19,	Lecture 15 : PAC Learning,other->ml,,,
10,,,,,,,,20,Lecture 16 : PAC Learning / MLE & MAP,other->ml,,,
10,,,,,,,,21,Lecture 17 : CNNs and RNNs,other->ml,,,
10,,,,,,,,22,Lecture 18 : RNN-LMs and Transformers-LMs,other->ml,,,
10,,,,,,,,23,"Lecture 19 : AutoDiff, Pre-training, Fine-Tuning, In-context",other->ml,,,
10,,,,,,,,24,Lecture 20 : Reinforcement Learning: MDPs,other->ml,,,
10,,,,,,,,25,Exam 2,none,,,
10,,,,,,,,26,Lecture 21 : Reinforcement Learning: Value/Policy Iteration,other->ml,,,
10,,,,,,,,27,Lecture 22 : Reinforcement Learning: Q-Learning / Deep RL,other->ml,,,
10,,,,,,,,28,Lecture 23 : Recommender Systems / Ensemble Methods: Boosting,other->ml,,,
10,,,,,,,,29,Lecture 24 : Ensemble Methods: Bagging,other->ml,,,
10,,,,,,,,30,Lecture 25 : K-Means / Dimensionality Reduction: PCA,other->ml,,,
10,,,,,,,,31,Lecture 26 : Special Topics: Generative Models for Vision / Significance Testing for ML,other->ml,,,
10,,,,,,,,32,Lecture 27 : Special Topics: Bayesian Methods for Machine Learning,other->ml,,,
11,CMU,,Introduction to Computer Security,https://www.andrew.cmu.edu/course/18-330/2025s/,25-SP,CMU-intro-to-security.pdf,undergrad,1,"Security Principles: 1. Introduction, Ethics, and Course Overview",other->sec,,,
11,,,,,,,,2,"Security Principles: 2. Threat Models, Trusted Computing Bases, and Design Principles",other->sec,,,
11,,,,,,,,3,Software Security: 3. Execution Semantics,other->sec,,,
11,,,,,,,,4,No Class,none,,,
11,,,,,,,,5,Software Security: 4. Control-Flow Attacks,other->software sec,,,
11,,,,,,,,6,Software Security: Recitation: Thinking Up Exploits - Part 1 ,other->software sec,,,
11,,,,,,,,7,Software Security: 5. Deployed Mitigations and Return Oriented Programming Attacks ,other->software sec,,,
11,,,,,,,,8,Software Security: 6. Defenses: CFI and Type Safety,other->software sec,,,
11,,,,,,,,9,Software Security: Recitation: Thinking Up Exploits - Part 2,other->software sec,,,
11,,,,,,,,10,Software Security: 7. Type Systems and Verification,other->software sec,,,
11,,,,,,,,11,Software Security: 8. Verification and Dafny,other->software sec,,,
11,,,,,,,,12,Software Security: Recitation: Provably Correct Software,other->software sec,,,
11,,,,,,,,13,Software Security: 9. Code Analysis and Isolation Techniques,other->software sec,,,
11,,,,,,,,14,Crypto: 10. Introduction; Randomness and PRGs,other->software sec,,,
11,,,,,,,,15,Review: Software & Systems Security,other->software sec,,,
11,,,,,,,,16,Exam: Security Principles and Software Security ,none,,,
11,,,,,,,,17,Crypto: 11. Pseudorandom functions and permutations,other->cryptography,,,
11,,,,,,,,18,Crypto: Recitation: Proofs by Reduction,other->cryptography,,,
11,,,,,,,,19,"Crypto: 12. Secrecy, block ciphers, and padding oracles",other->cryptography,,,
11,,,,,,,,20,"Crypto: 13. MACs, hashes, and auth-enc",other->cryptography,,,
11,,,,,,,,21,Crypto: 14. Digital signatures and the RSA trapdoor permutation,other->cryptography,,,
11,,,,,,,,22,no class,none,,,
11,,,,,,,,23,no class,none,,,
11,,,,,,,,24,no recitation,none,,,
11,,,,,,,,25,Crypto: 15. Public Key Cryptography,other->cryptography,,,
11,,,,,,,,26,Crypto: 16. Blockchains and Cryptocurrencies,other->cryptography,,,
11,,,,,,,,27,Crypto: Recitation: Cryptocurrencies,other->cryptography,,,
